,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TSPAN6,4425.251041847905,-0.14421915993128528,0.3056370730194703,-0.4718640919653682,0.6370237998596092,0.9999760324314529
TNMD,38.5841341435724,-0.1097810411758007,0.6144788510985381,-0.17865715146996355,0.8582069159510526,0.9999760324314529
DPM1,9724.98596386682,0.189718502624539,0.2412855094059987,0.7862822060536983,0.43170217470439043,0.9999760324314529
SCYL3,685.2856127686548,-0.053223265963028364,0.1166887098684643,-0.4561132437150393,0.6483085471294285,0.9999760324314529
FIRRM,1652.4665158339944,-0.27389201959187714,0.18256866968526927,-1.5002137007627894,0.13355905539142998,0.9999760324314529
FGR,111.14744156751271,-0.4508503703496685,0.3289809202172206,-1.3704453439183635,0.17054792576250755,0.9999760324314529
CFH,10752.57995577777,0.7516799169112458,0.4159855310330509,1.8069857262692228,0.0707645047816227,0.9999760324314529
FUCA2,1990.9430218233551,-0.06543490068351114,0.17873204756859512,-0.3661061436584172,0.7142858733249726,0.9999760324314529
GCLC,5177.976640008688,-0.049782053507177716,0.1616014795079335,-0.308054441449181,0.7580409069452867,0.9999760324314529
NFYA,696.7441867402938,0.171670908199543,0.15836591434696162,1.0840142521037175,0.278358479736058,0.9999760324314529
STPG1,239.58284520333874,0.11564990252329023,0.2431306858538806,0.4756697087293819,0.6343097044575013,0.9999760324314529
NIPAL3,436.99450005506026,-0.08461325993136054,0.15840675287186354,-0.5341518489417233,0.5932364798777766,0.9999760324314529
LAS1L,1561.7402903300297,-0.06238418204999358,0.1976381024498763,-0.3156485580295179,0.7522692765055097,0.9999760324314529
ENPP4,762.6460070518754,0.05175492337100531,0.167865488233711,0.30831187467759563,0.7578450311825337,0.9999760324314529
SEMA3F,480.3914636706615,-0.409939352195712,0.24790201398795605,-1.653634617973004,0.09820177447465774,0.9999760324314529
CFTR,21189.306931525884,-0.5298673777899635,0.3422015044481891,-1.548407505234063,0.12152421538033534,0.9999760324314529
ANKIB1,4454.479167699913,0.3456733386235701,0.1277895461061238,2.705020474339137,0.006830017961633632,0.6523516658081715
CYP51A1,5455.936158922586,0.28853312704329304,0.2543219352962102,1.1345192332986804,0.256576810659881,0.9999760324314529
KRIT1,6605.6829237972515,0.2702721666669594,0.16683209435836743,1.6200250180063989,0.10522690284565965,0.9999760324314529
RAD52,375.4226137699823,0.2893224665163898,0.18976577133494837,1.524629360084742,0.12735157001567204,0.9999760324314529
BAD,49.302101944878636,-0.12641178367709976,0.21563680668453428,-0.5862254483393171,0.5577240224176261,0.9999760324314529
