,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TSPAN6,4425.251041847905,-0.514949087783246,0.25741991329425,-2.0004244473294537,0.04545445070267086,0.19771284582361637
TNMD,38.5841341435724,-1.3051592918065271,0.5138982360454775,-2.53972323752251,0.011094022000508814,0.09113686592709798
DPM1,9724.98596386682,-0.7845089084313435,0.2003492984295706,-3.9157057927364005,9.014011740553853e-05,0.007906642733463013
SCYL3,685.2856127686548,-0.010874185698514137,0.10081860228329106,-0.10785892139189421,0.9141076029407583,0.9608772188875565
FIRRM,1652.4665158339944,-0.1449929441316189,0.15492540087959242,-0.935888778137208,0.3493304555794069,0.5885086720023138
FGR,111.14744156751271,0.936456100448894,0.2659262283032836,3.521488295546705,0.0004291316112972026,0.016510838744659872
CFH,10752.57995577777,1.6204296333218586,0.3178560473020245,5.097998440099326,3.43263647168296e-07,0.00020384432609678413
FUCA2,1990.9430218233551,-0.4046287410148883,0.15080760595265005,-2.6830791355572075,0.007294772664759027,0.07196573801964194
GCLC,5177.976640008688,-0.12934360936021108,0.13567379462116608,-0.9533426091705447,0.34041650933649525,0.5805289701377585
NFYA,696.7441867402938,-0.24645667787365794,0.13199834230712865,-1.8671194923055325,0.0618849029438541,0.2344784068792538
STPG1,239.58284520333874,0.03247621871560648,0.20563601762992434,0.15793059547599655,0.8745114888962291,0.9400346050875777
NIPAL3,436.99450005506026,0.007881935631732917,0.13380499364208323,0.058906139578141704,0.9530268678694628,0.9783625229028765
LAS1L,1561.7402903300297,-0.12774216218145826,0.1665993761523863,-0.7667625481659316,0.4432227074325992,0.6703008014445956
ENPP4,762.6460070518754,-0.1001833279825181,0.14118753124131422,-0.709576313869298,0.4779669121786254,0.6961629404002366
SEMA3F,480.3914636706615,-0.31979696156165033,0.20938745951358573,-1.527297586515208,0.12668702936376558,0.3409703657382665
CFTR,21189.306931525884,-0.21591028251957123,0.2934025667001365,-0.7358840958614926,0.46180123685997243,0.684750578173708
ANKIB1,4454.479167699913,-0.12820780826218994,0.1118105002423407,-1.1466526666485646,0.2515252003397097,0.49460682036832915
CYP51A1,5455.936158922586,-0.47873962213014837,0.2147775694453075,-2.2290019547504847,0.025813774723859394,0.14453733588045986
KRIT1,6605.6829237972515,0.10857028140920905,0.14306299435885905,0.7588984271982416,0.44791331987525673,0.6738402730088173
RAD52,375.4226137699823,-0.12061067532252165,0.1624695548398522,-0.7423586249215045,0.45787008084073544,0.6814162892221257
BAD,49.302101944878636,0.19532803184873043,0.1823688894016426,1.0710600502619012,0.2841424296166155,0.5278810601235999
LAP3,2526.5141850998225,-0.004303524899287301,0.1253157192377215,-0.03434146111489492,0.9726048631651141,0.9877753751588106
CD99,11962.057211431955,0.4449279477402279,0.20630317513247326,2.156670383063793,0.031031356216889853,0.15948082252450768
HS3ST1,63.183220765952875,-0.030844231723308864,0.21667880965340364,-0.14235001462601193,0.8868035427633493,0.9459796581878223
AOC1,998.2877482949943,-0.15622217895464935,0.25525778778251373,-0.6120172877458091,0.5405263196987404,0.7417278143688554
WNT16,13.940569909306538,0.3496054327631207,0.5279965049904611,0.6621358843453645,0.5078841400746393,0.7194954483115958
HECW1,217.9305566511917,-0.07456448961684708,0.37746354434290535,-0.19754090357692727,0.8434042755795063,0.9243878196511456
MAD1L1,429.15076869301754,0.022668490952806437,0.19535291668817448,0.11603866139859202,0.9076219013760766,0.9575402218926942
LASP1,2314.65103856212,-0.29701233734102606,0.12623925268793404,-2.3527732540943225,0.01863399298296673,0.12165633135697794
SNX11,270.59542116765977,0.05539309014075825,0.14692499976738466,0.3770160982028789,0.7061616415520267,0.8472255344335408
TMEM176A,1838.3275664006455,-0.014269230974892437,0.2175690131269017,-0.06558484946829081,0.9477083515140686,0.9761349892176726
M6PR,2420.251351288419,-0.11922564670206175,0.09597977154079682,-1.242195566712556,0.21416441497261052,0.45161800960031434
KLHL13,270.7837412544462,0.12345098337744538,0.4484228455417259,0.27530038802618995,0.7830854663813638,0.8910191693306514
CYP26B1,27.84159955463384,-0.17530154545382268,0.5023482448247055,-0.3489641842284015,0.7271161981759592,0.8587403341752136
ICA1,3122.6056646465217,-0.1716482449873076,0.1939936634090595,-0.8848136685030076,0.37625713620516044,0.6133516667132558
DBNDD1,24.597388839257494,-0.33890465303536416,0.3413073402285857,-0.9929603412818124,0.3207292816981073,0.561375724758815
ALS2,2891.902507193641,-0.18343892395172162,0.1255916543058451,-1.4605980386642958,0.14412578486819586,0.3652710588621461
CASP10,905.2842017649015,-0.36162261216211283,0.18924451244437593,-1.910875023487952,0.05602064349202964,0.22231244667208339
CFLAR,3048.8492596944357,0.34620942573966584,0.12372759053328947,2.7981586342014526,0.005139486404669469,0.060607414167862236
TFPI,817.3361945304457,0.4500113655973662,0.2241536571765431,2.007602156778276,0.04468558519844607,0.19577698546182545
NDUFAF7,1600.236480390732,-0.06422208020058896,0.08503413405200652,-0.7552505933830174,0.4500986371411051,0.675686780895785
RBM5,4290.011047598763,0.2146159739416626,0.12819036909924716,1.6741973320593473,0.09409182366777859,0.2912030133220884
MTMR7,46.83407664452634,0.25713186939361776,0.32942567109761184,0.7805459378344174,0.4350695990957788,0.6636636832400685
SLC7A2,205.3818980185311,1.1333518388711863,0.4069418939067714,2.7850458648792555,0.005352015212679731,0.06165839846250278
ARF5,735.8905690957893,-0.2084426093648674,0.11463239439079435,-1.8183569354249354,0.06900959590451879,0.25027066175398427
SARM1,199.44328663403266,0.36871673719843934,0.17569409140909195,2.0986291242993884,0.03584960692298053,0.17236523589864736
POLDIP2,2726.3428336923516,-0.0478098692318945,0.13865735704027857,-0.34480585994442553,0.7302403273531639,0.8605804734954202
PLXND1,1660.310135489039,0.2947212219403479,0.1760006049549055,1.6745466415633101,0.09402321586705391,0.29104388762357936
AK2,16145.445212386088,-0.4674271180710786,0.15450566942607905,-3.0253072253423827,0.002483806849125023,0.04027621278624283
CD38,215.47929422918065,0.6722922585571527,0.37228208421723274,1.8058678809933253,0.07093897919753958,0.2529330199737042
FKBP4,2199.249449615418,-0.5438157758348372,0.19784467965661776,-2.7487005300253315,0.00598320236453012,0.06497727827856645
KDM1A,5740.11608498306,-0.3010829632896087,0.14970436032948098,-2.011183659760891,0.04430606107552959,0.19493025643377238
RBM6,8022.3332072313815,0.1136497487394577,0.13114090161488143,0.8666232070998748,0.3861484937446995,0.622403870380274
CAMKK1,164.77938674472517,0.20002596556824395,0.2151150104147074,0.9298559183881487,0.35244568934141807,0.5911934402956295
RECQL,1847.6498286783822,-0.12928434578189033,0.11787450850134865,-1.096796478098665,0.2727303701224658,0.5165065931092095
VPS50,2263.8745890118817,0.020686618087573758,0.10716432809095527,0.19303641851807327,0.84693044659391,0.925699202318314
HSPB6,140.95288439812435,2.1102900939940974,0.5546558506724104,3.8046837357539607,0.00014198548675426872,0.009605340642203255
ARHGAP33,178.7948546157489,0.2971642572221884,0.18604327359311665,1.5972856824272903,0.11020204083203883,0.31593740038028545
NDUFAB1,1229.4839011890226,-0.3127637983597888,0.15410220074078626,-2.0295868381911406,0.04239855389104829,0.18960304957813306
PDK4,789.1444155752317,1.649072975141612,0.2740340804557742,6.017766010705199,1.768405623961737e-09,4.9895564680080406e-06
SLC22A16,9.049916668782306,0.856695546643583,0.7475447851998842,1.1460123374608429,0.2517900472468175,0.49482373377084193
ZMYND10,10.519955561680334,-0.2421258667020611,0.4461698257931327,-0.5426764713898943,0.5873525768150676,0.7740980736593884
ABCB5,30.042740000338576,1.4535185372119261,0.800498940565882,1.815765722543514,0.06940631747217413,0.25058211739953845
ARX,1.9996243512267082,-1.729626295224912,1.2986345287396321,-1.3318807231342997,0.1828993864281212,
SLC25A13,7578.348865123371,-0.2656345097917755,0.15411797386248513,-1.7235790423042625,0.08478386463655127,0.27613235853600715
ST7,1513.692573367754,-0.20484290982104578,0.13859167389933333,-1.4780318619272492,0.13939925024259373,0.3590457911194649
CDC27,3279.6631993351866,-0.04506257074652271,0.12945812507963525,-0.34808607585505186,0.727775541089844,0.8591709996589936
SLC4A1,3.4764630812636206,-1.254396991370426,0.9483958274027514,-1.3226513182851933,0.18595135974966848,0.4186717884307304
CALCR,5.499665261002499,0.18829202393898958,0.6490517976059768,0.2901032315656523,0.7717372636284907,0.884246371300624
HCCS,1283.1250023105795,-0.43789678204562027,0.15944915759200107,-2.7463097871367355,0.006026982375270571,0.06519538954054664
DVL2,383.81889497088207,0.13087312108205645,0.11378004534662658,1.1502291169190209,0.25004951673934117,0.49256321490345667
PRSS22,214.41516081485005,-0.07385734244574897,0.34631936633884847,-0.21326367978360442,0.8311213012099123,0.9173333958835986
UPF1,2135.295868209855,-0.14372702150565267,0.10323455832781747,-1.3922374816507945,0.16385049612520208,0.3901551717385814
SKAP2,1969.7785729176194,-0.2305235373440965,0.19081569107284208,-1.2080952884325238,0.22701061183061633,0.46595967192008375
SLC25A5,4498.078550889846,-0.484663429186434,0.1748351100050905,-2.7721172776584893,0.005569296741312961,0.06256312178744998
MCUB,415.146967144674,-0.03939403497478741,0.22635987597286464,-0.17403276444412724,0.8618397128208569,0.9333214657871801
HOXA11,619.4134532867937,0.11953193123944597,0.3522276678266624,0.3393598577221077,0.7343386550731834,0.862685160797955
POLR2J,5692.337230085146,-0.24039497315789665,0.1702024059223402,-1.4124064337115414,0.15783032318012746,0.3827310772165361
DHX33,841.1934281524915,-0.10155676884881173,0.12373392425825148,-0.8207673801474795,0.41177878233705834,0.6451048497301555
MEOX1,4.716247775987756,0.7107528975584521,0.5603275440500313,1.2684596806024395,0.20463384053786493,0.43985549239921645
THSD7A,271.59686388132525,0.8902428294612523,0.2835536850038769,3.139591818209241,0.0016918338684820315,0.03299660778747962
LIG3,2708.415954275138,0.0169486761005418,0.14279834346464723,0.11868958483217842,0.9055212883177002,0.9564840512841046
RPAP3,2255.945352866589,-0.21177316112893174,0.11940936850301562,-1.7735054107047181,0.07614499611582236,0.26163739379093076
ACSM3,837.4959657767373,-0.23732511161706257,0.2797979186944031,-0.8482018476923354,0.3963255684238738,0.6318293198839589
REXO5,222.7260534609195,-0.09219862349422608,0.18987027329540052,-0.4855874587107341,0.6272596900733356,0.797732089331699
CIAPIN1,658.3445953320715,-0.1145517105425323,0.13272773285442133,-0.8630578408822451,0.38810566603463437,0.6244882444919994
SPPL2B,893.7036553640457,0.17762140341948632,0.15624465249939146,1.1368158882761004,0.2556152599611866,0.4988352679861769
ATOSB,113.59054809852259,-0.1317503464471042,0.17534473687888275,-0.7513789623358309,0.45242461998302874,0.6779761345217928
COPZ2,238.88946247373752,0.793958714334386,0.331328503420315,2.3962885961766776,0.016562044296066374,0.11379011683770603
