,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
C6,75.60586706349038,4.02335337925658,0.5784071893184609,6.955918691116738,3.502718494628294e-12,5.929752139556239e-08
ITIH4,106.42923917406247,2.7671737729613297,0.40891654711130543,6.767086811500724,1.3140124154130644e-11,1.1122458090263884e-07
ADAMTSL4,671.4572978712617,1.5811132159886665,0.25053758317852204,6.3108823671458305,2.7744902456213097e-10,1.565644845604105e-06
ASGR2,6.867188563725881,3.84228511901968,0.6197494086667027,6.1997398711291645,5.655655903240322e-10,2.3936149696488855e-06
CFHR1,966.1840974933675,2.2753550489879104,0.37016074407749766,6.146937743651005,7.899311515666901e-10,2.6745488929745e-06
PDK4,789.1444155752317,1.649072975141612,0.2740340804557742,6.017766010705199,1.768405623961737e-09,4.9895564680080406e-06
CCL14,113.05250854681637,2.793087798922987,0.47070080122569463,5.933892170248803,2.958361647321318e-09,7.154586332500371e-06
RYR3,469.8456246480038,2.7487130781779654,0.46893048236369317,5.861664322444533,4.582506811914379e-09,9.697157227362315e-06
OLFML3,473.58686181835276,1.6720659500070698,0.2888879130843047,5.787940146596299,7.1254789958435595e-09,1.3403025991181736e-05
TNXB,3828.732706951826,2.2407105625093764,0.3893989837665,5.754279430408068,8.701212972295231e-09,1.4730283440798597e-05
ZBTB16,422.71715205003983,3.104641541879467,0.5466315962457866,5.679586696418296,1.3502059969407173e-08,2.077967029291764e-05
ARG1,28.516779119335958,2.1424773220227555,0.38062798604961795,5.6287960963108645,1.8147176870434585e-08,2.560112976996559e-05
A1BG,53.15576919012583,2.372291000062321,0.4254466219401079,5.57600149519175,2.461098111574703e-08,3.204917686988319e-05
ADH4,72.16119084340204,2.2171063862657476,0.4009230676815807,5.530004544479361,3.2022249191586555e-08,3.6140310437624584e-05
CAVIN2,174.35504091639464,1.7800877257196293,0.32179154113603275,5.531803972955035,3.169540073827113e-08,3.6140310437624584e-05
RGS2,1172.6819516869903,1.5177672338780077,0.2801693940492389,5.417319900443033,6.049903931199868e-08,6.40117647820516e-05
CLU,2284.3501783860765,2.1124974513726134,0.39100474076675223,5.402741274261916,6.563009047940419e-08,6.535598833681374e-05
CITED2,724.5618215795905,1.0635788333935767,0.2002871698055357,5.310269421781908,1.0946329396087212e-07,9.265520517318022e-05
BCHE,75.90449023217771,2.804490719481186,0.5275504267251373,5.316061891733382,1.0603709519648455e-07,9.265520517318022e-05
HPX,70.47625707160503,2.258628158778081,0.4247897653365786,5.317049380858967,1.0546345413007749e-07,9.265520517318022e-05
DUSP1,1368.4706661966995,1.7061177682408715,0.3241811538294713,5.262853031667408,1.4183695787049582e-07,0.00010439816781694017
GTSF1,22.941969639891177,3.042758199618128,0.5777994009802747,5.266115185401522,1.3934087608137123e-07,0.00010439816781694017
DTHD1,62.775605475355064,2.1364917319070815,0.4055367438008314,5.268306175867416,1.3768831858364466e-07,0.00010439816781694017
PYGM,192.6737063610271,2.2105492102144324,0.4228680708846398,5.227515063007629,1.718034057533403e-07,0.00012118582733326242
CCN1,4880.035412671908,2.061422066715496,0.3961111530122918,5.204150529564937,1.9488599220859006e-07,0.00013196899848396884
CXCL12,744.5249091254461,1.8201094251047651,0.3511621376567951,5.183102703639512,2.1822479076234015e-07,0.00014208951856983294
SERPINA3,389.1711344764687,2.5909037526706635,0.508543361626185,5.0947548393624675,3.491928322291181e-07,0.00020384432609678413
CFH,10752.57995577777,1.6204296333218586,0.3178560473020245,5.097998440099326,3.43263647168296e-07,0.00020384432609678413
TRPM3,107.38279192955706,3.237513494483425,0.6345295946314452,5.102226155998091,3.356812683699486e-07,0.00020384432609678413
ADAMTS1,959.0960189338887,1.310397959124547,0.2580885817069739,5.077318610756417,3.827986619770151e-07,0.0002160132849536296
DERA,735.4082599499676,-0.5437063767762355,0.10754652017019042,-5.0555459713232,4.291612310463103e-07,0.00023436356388332216
C5AR1,104.87740405782453,1.2725280828356578,0.25565854958079176,4.977451702367265,6.442685088210857e-07,0.000340838174557255
KLF9,126.22581129414009,1.5320563348030394,0.3083843510275085,4.968009335423044,6.764370704584555e-07,0.0003470122171451877
TSC22D3,245.8778161683968,1.4381334623506605,0.2912529245906376,4.937747713167133,7.902998860628507e-07,0.00039349961091641176
