,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
APOA2,58.61407818455548,5.073941707098509,0.7307515659308281,6.943456495553787,3.826204773154545e-12,7.345547923502096e-08
JUP,7269.396633539509,1.5146883192512464,0.27894235074924684,5.430112405601917,5.6318568096775834e-08,0.0005406019351609512
NRCAM,322.4985568122359,2.5739849911078543,0.5142349801945326,5.005464603232802,5.572745317192765e-07,0.0026086994675972638
CASC3,7153.225410031804,1.0488370525457786,0.21115444509071157,4.967155922742711,6.794195925610126e-07,0.0026086994675972638
KCNMB4,48.5996889281128,2.447017752957984,0.484477446387522,5.0508393552765565,4.398728923894818e-07,0.0026086994675972638
GRB7,947.8722543712771,1.2631293287251797,0.25931667903596506,4.870991458864064,1.1103964052948799e-06,0.0035528983648085172
C6,75.60586706349038,3.462346803342731,0.720535571570777,4.805240629265215,1.545654949896643e-06,0.004011935185000724
PGAP3,295.08195700735644,1.4576306182277663,0.3043375649019781,4.789519225788785,1.6718138076886027e-06,0.004011935185000724
MSL1,3604.3742930042963,0.6941217455040778,0.14585885130943116,4.75885926203778,1.946901196950809e-06,0.004152956575451293
TAT,55.942090629443136,-5.928738320443042,1.2845275054626415,-4.615501260370224,3.921476610278464e-06,0.007528450796412595
F2,29.934124055564745,3.1816490709004808,0.7015283215901916,4.535310938963186,5.751868265858274e-06,0.010038578815267922
EIF1,2326.724513413959,0.8015765218072957,0.17852839486556954,4.489910540062136,7.125309250325997e-06,0.011356751587417264
RYR3,374.90923391606145,-2.423368290287181,0.5417006242149669,-4.473630234041412,7.690268290260675e-06,0.011356751587417264
ERBB2,4967.321892061476,1.1419329843878159,0.2573056305187635,4.438041181164681,9.078125322207395e-06,0.012448703566838398
PPM1E,35.58877448392273,2.8993964066231532,0.6621954292222568,4.378460313488528,1.1952069996975098e-05,0.015297055986795195
ASGR2,6.867188563725881,3.2765488852455587,0.7558104175505562,4.335146498594524,1.4566308125805296e-05,0.017092928280935914
ADGRV1,356.6344849019918,-3.3657370136511338,0.7778991990139521,-4.326700706103654,1.5135940242520605e-05,0.017092928280935914
SMARCE1,4022.695565211904,0.8315091764880834,0.19354531988429444,4.2961988281875145,1.7375175336371658e-05,0.018531589783759062
ITIH4,106.42923917406247,2.1895923155609145,0.5120118929180341,4.276448156471704,1.8989875423185522e-05,0.019187769914437665
GPAT2,64.11342593053391,-2.3299826061302467,0.5600567926757661,-4.160261310283124,3.1788368166215404e-05,0.028596272340308804
KAT14,1660.2349633939023,-0.809014254084023,0.19478781447702115,-4.153310391905759,3.2769975595728393e-05,0.028596272340308804
MED24,1715.3111996032435,0.8231998235729364,0.19764577171484124,4.165026230668016,3.113167696133863e-05,0.028596272340308804
KRT19,7538.6159867019915,1.3774873097135063,0.33617591198473235,4.097519365920738,4.176012406946462e-05,0.03456597563034019
A1BG,53.15576919012583,2.0891124367410208,0.5108355282429978,4.089598943766607,4.3211970784881996e-05,0.03456597563034019
WIPF2,808.0660547006275,0.7203277251987693,0.17699913275237275,4.069668105134335,4.708015884683874e-05,0.03615379558166441
LBP,22.811869758980016,3.1915228015082646,0.7947112842013878,4.015952541450891,5.920617025619142e-05,0.043716925253013954
