,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TSPAN6,3688.061001066398,-0.3479319544091819,0.2767284431108514,-1.2573046359018756,0.20864334594516254,0.4923632694633047
TNMD,30.91839440047921,-1.2127255001625656,0.5437132020167176,-2.230450714943791,0.025717535918244723,0.16592998736276252
DPM1,7727.363937969165,-0.5842039013243409,0.2137715026289336,-2.7328427509741884,0.0062790302253188405,0.07697643942633522
SCYL3,690.8165582576729,-0.12242581789900052,0.12002666181207662,-1.0199885263049322,0.30773390233672804,0.5939227159330037
FIRRM,1594.033861373112,-0.19356144907066808,0.15304007039617012,-1.2647762678728616,0.20595154099206392,0.48872917372609254
FGR,123.6864054809879,0.8899666434586426,0.3131949960692167,2.8415736350460667,0.004489148370763281,0.06253616626606825
CFH,12727.441395848813,1.7483126272418705,0.35630547761679054,4.906780100423252,9.258373494148182e-07,0.0004403888691847981
FUCA2,1710.0979577868882,-0.27389754029744817,0.167698514567542,-1.6332735027723433,0.10241148702858947,0.3454737723665279
GCLC,4860.504835182679,-0.11640997577295532,0.15913370109247962,-0.7315230838834343,0.46445970996708064,0.7164513888499814
NFYA,666.8236471012357,-0.30271969897384915,0.16057554100349972,-1.885216746473558,0.05940058077719608,0.2563612531144438
STPG1,235.556425903548,-0.014043442789794566,0.26342473056804866,-0.053311026491367416,0.9574840948267452,0.983055070847269
NIPAL3,416.81956032087623,0.02290250719371387,0.14302437580859292,0.16013009715465498,0.8727785929777312,0.9480349278913061
LAS1L,1443.7606792718516,-0.08043664761388349,0.1838909390791765,-0.4374149591962794,0.6618104373079724,0.8439636400627338
ENPP4,726.4903571551645,-0.11215037845856853,0.13144807737420366,-0.8531914707227033,0.3935531325250583,0.6634899484900904
SEMA3F,465.0015486119693,-0.41269519427869034,0.21720711876274118,-1.9000076822043939,0.057432111491159975,0.2523348720966665
CFTR,18114.57256899251,-0.02387420793712961,0.33519875894073564,-0.07122403439850043,0.943219453305266,0.9773405398488999
ANKIB1,4270.813754236454,-0.16083052571107184,0.14865502993175525,-1.0819043646549071,0.27929502525946626,0.5672834678797346
CYP51A1,4644.183043396623,-0.34632230515748935,0.2276783300769798,-1.5211035017710959,0.12823386586184007,0.3861248288677233
KRIT1,6593.532024332658,0.051024141258807956,0.19003547355261494,0.26849798253419754,0.7883160275839832,0.9082860656952597
RAD52,350.1525683469534,-0.09272213981496294,0.15892939139997553,-0.5834171955117499,0.559612484835156,0.7814813457373702
BAD,49.85605993027119,0.13317204729013407,0.19503260888671717,0.6828193913330964,0.49472097485446864,0.7372524411678016
LAP3,2365.398246894292,0.04850391462951358,0.13812291872854648,0.3511648542906809,0.7254646753712661,0.8799015999085293
CD99,11036.702726343095,0.6937399136613331,0.20618950211856685,3.3645743674302397,0.0007666182133049138,0.021917808448621897
HS3ST1,62.65381128525052,-0.10961040196810498,0.25066221532563365,-0.43728330504743534,0.661905901374956,0.8439636400627338
AOC1,860.8076832639216,0.032466678356691314,0.3019831668574801,0.10751155004614497,0.9143831628209058,0.966881294874179
WNT16,12.263543552162528,0.6739701491136838,0.5640854012853215,1.1948016161701398,0.2321645487515659,0.5199737397731974
HECW1,187.75585226731755,0.14011865550911148,0.42631269068235994,0.3286757785343812,0.7424007640132317,0.888043810817298
MAD1L1,434.05969780402245,-0.0873263651448565,0.21664723469368322,-0.4030809129335389,0.6868887015668161,0.8578724108173102
LASP1,2092.9512094780293,-0.24733726174326856,0.14735301564060344,-1.678535458999553,0.09324261420399878,0.32732042694528735
SNX11,278.2651964862957,-0.08420591432411306,0.17369895430446183,-0.4847807786828458,0.6278318587893468,0.824797708667054
TMEM176A,1656.9809956129882,0.12089422175935799,0.2614241351142163,0.46244476129389983,0.643762406409589,0.834197889320395
M6PR,2164.8005145503193,0.00042325843869653817,0.08993126107619072,0.004706466179073694,0.9962447971632542,0.9984511099891663
KLHL13,281.1223287458336,-0.02107267038270519,0.4788743380732154,-0.04400459307861967,0.9649007426685114,0.9854954128918334
CYP26B1,19.80650522762655,0.44973326466318864,0.5868993117188495,0.7662869178463624,0.4435056006416478,0.7023951068183361
ICA1,3039.2131868913402,-0.24408602794753875,0.23253918042779792,-1.0496554924572208,0.2938765336627923,0.5792614728390358
DBNDD1,22.783757065488437,-0.3443053554553229,0.3984639962636604,-0.864081469552644,0.3875431377172547,0.6591812455222935
ALS2,2749.8073032058633,-0.21259669676458717,0.1478379825171141,-1.4380384062666467,0.1504231572292181,0.4171242131834595
CASP10,846.280295892956,-0.3952255406313533,0.21628658640220358,-1.8273234008899528,0.06765115880446894,0.27696705980450403
CFLAR,3230.785742639303,0.21708480616817197,0.15215560733056116,1.4267289255830762,0.15365804469729638,0.42172756367362285
TFPI,809.0087742081366,0.519100724378439,0.2548760521881952,2.0366790835066206,0.04168221192891712,0.2126262656174294
NDUFAF7,1542.4225852394673,-0.09178828629474668,0.09570715001997691,-0.9590535950092314,0.33753174622636806,0.6182359560805187
RBM5,4312.395262490994,0.16825862823779586,0.14148927276614537,1.189197067369871,0.23436212827170588,0.5217967036400828
MTMR7,50.40570317840823,0.0683022308966249,0.3571772841525472,0.1912278129855919,0.8483471140697457,0.9381393520736371
SLC7A2,250.06575478402806,0.9110232047290362,0.5101294148433417,1.7858668373569615,0.07412082160946004,0.2916277633525438
ARF5,652.2167357313801,-0.09331643189834443,0.12149748138077587,-0.7680523977767786,0.44245605586862347,0.7016481246398806
SARM1,202.93991956323794,0.34367169702424155,0.16841204796342452,2.0406598054010936,0.041284653210802644,0.21182624626041563
POLDIP2,2567.2176158904635,-0.019005027153869054,0.15370550257089377,-0.12364571753118171,0.9015957928467697,0.961031553203515
PLXND1,1589.1892421897376,0.38885842247899965,0.19537533989916744,1.9903147586573013,0.04655627323511361,0.22551478659214608
AK2,15554.005406978293,-0.5802734962346431,0.19450422126120812,-2.983346543699783,0.0028511497040132152,0.0493582243934537
CD38,234.8429540299077,0.576966645335175,0.41020178202405083,1.4065434881541947,0.15956280049795268,0.4290129344911004
FKBP4,1774.6420727971306,-0.31971449084486725,0.21597155449014482,-1.480354630958849,0.13877863092096773,0.4014088267270285
KDM1A,5368.303072812531,-0.320720153477809,0.1777199156120459,-1.804638227366289,0.07113131201574589,0.2849555524566817
RBM6,8183.0857708483145,0.007378405958243246,0.13954219855397335,0.052875804127375574,0.9578308629299902,0.9830924726508627
CAMKK1,163.33638843080246,0.18556789042753258,0.26346432261988156,0.7043378343688089,0.4812224100103202,0.7281331499392437
RECQL,1669.498415184716,-0.03468266887404156,0.13536955603385592,-0.25620730310563644,0.7977907697340445,0.9135713450876833
VPS50,2125.9932796817693,0.07447253048910615,0.1339992798452505,0.5557681397624747,0.5783693682880711,0.7944490871836577
HSPB6,169.05110800448801,2.653335812569342,0.5378923840504374,4.93283766650346,8.104350783939921e-07,0.00041408003892524003
ARHGAP33,183.42793545962672,0.2296486212001844,0.22564584861598355,1.0177391811493637,0.30880192184981736,0.594325707569025
NDUFAB1,1079.6357202709073,-0.2048303466986979,0.16461598082890586,-1.2442919919882445,0.2133921172525739,0.4978157827217118
PDK4,977.1034768731269,1.6212837645764813,0.32766638289391775,4.947971013252748,7.499107298051642e-07,0.0003959278683127999
