,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ADH1A,161.10487196879902,2.6297753734146276,0.4120385707255343,6.382352430705727,1.7438804840388972e-10,2.7621322986692092e-06
CFHR1,1273.1645081244544,2.4603769928624684,0.39776192614078265,6.185551786551963,6.188561418152079e-10,4.901031215105539e-06
RYR3,660.9347379977427,3.0371989013794325,0.5028867403498303,6.0395287003722204,1.54565020132981e-09,6.815491688155073e-06
CCN1,5966.438383542091,2.4289444040351746,0.40333533876131616,6.022146265424473,1.7211924207727945e-09,6.815491688155073e-06
TMEM47,237.02918268493465,1.6753866826192836,0.282178470939862,5.937329935338486,2.8970129686910246e-09,9.177157682219428e-06
TRPM3,156.47289375680822,4.052352274281932,0.7100587974877628,5.707065793170137,1.1494036142697937e-08,3.0342339744032104e-05
ITIH4,159.86946078988123,2.6408879653391892,0.4683981050553569,5.638126919892385,1.7190978891105012e-08,3.889827352231604e-05
TNXB,4989.306427394996,2.4467832851120925,0.4378486159089705,5.588194632139212,2.2944240687619316e-08,4.037931425013359e-05
ZBTB16,635.6266277483421,3.297974159190817,0.5892046052796013,5.59733262374247,2.1767483302365722e-08,4.037931425013359e-05
PLIN4,991.4902805241173,2.1260536836410813,0.3835838448792977,5.542604862074123,2.980048295656643e-08,4.290998632264143e-05
DPT,236.7030660265018,2.984042336454247,0.5374375195133313,5.552352093237561,2.8185116883827606e-08,4.290998632264143e-05
OLFML3,557.5096451650754,1.8606258147347388,0.33877571487691804,5.4922054120990635,3.9694531807304844e-08,5.239347410799179e-05
ST18,51.58917509240005,1.98318254723358,0.3678554774746815,5.391200263886453,6.998862277065232e-08,8.29534991832568e-05
VCAM1,1078.179691189268,1.296734846771034,0.24163338235974585,5.36653848945608,8.02620789775081e-08,8.29534991832568e-05
PYGM,253.9239163348959,2.329118681686007,0.4338607331017288,5.368355566623475,7.945778586629138e-08,8.29534991832568e-05
MAGI2,166.98738638908716,1.938424131164212,0.3617302131311633,5.358756500832679,8.379670351234982e-08,8.29534991832568e-05
TRPS1,2273.650022628319,1.309268912673253,0.2469322839115385,5.302137460253225,1.1445460552776688e-07,0.00010663802923260586
GNAO1,189.28628232841103,2.135984671012847,0.40780427579078454,5.23776918932716,1.625291426026378e-07,0.00014301661609351
CXCL12,911.6322689991524,1.9578756885441548,0.37564463641852813,5.212042176912034,1.8677307032689616e-07,0.00015569992952145834
KLF9,144.72832472189754,1.7211063983779806,0.33123995828979985,5.195950413905664,2.036765482455324e-07,0.0001613016423830494
C7,2443.222380634649,3.649175016495493,0.7052928266911761,5.173985723937249,2.2915234056997342e-07,0.00017283542487084804
ZNF483,294.33336145938426,1.7623045739975034,0.3432132857931125,5.134721314546701,2.825624107531775e-07,0.00020343209199634446
HS3ST4,10.810060074337589,6.790229562485563,1.3326076629698183,5.095445382141219,3.4792232047259495e-07,0.0002395974623463231
COL14A1,9559.342434480248,2.0145102855705774,0.39713733734698625,5.072578415890578,3.924613263087719e-07,0.0002590081228085266
CYP2A6,69.00703355368225,2.5274616120811646,0.5046827196519096,5.008020908313264,5.499256207479627e-07,0.0003484108762810792
FGFR1,2266.428000850574,1.2972497236852252,0.25965484917535375,4.996054292092763,5.851519303751952e-07,0.00035404168033980287
ZFPM2,1127.0642226276075,1.5340879363565265,0.3074270368680655,4.9900878985308355,6.035182378416994e-07,0.00035404168033980287
SLC1A2,26.119920478280502,3.190001294892511,0.6420842292850739,4.968197550100872,6.757809945174477e-07,0.00038227482757720907
TSC22D3,283.81596984346066,1.5379167618563614,0.3099855399447097,4.961253231781942,7.003980972761353e-07,0.00038253811940540367
PDK4,977.1034768731269,1.6212837645764813,0.32766638289391775,4.947971013252748,7.499107298051642e-07,0.0003959278683127999
HSPB6,169.05110800448801,2.653335812569342,0.5378923840504374,4.93283766650346,8.104350783939921e-07,0.00041408003892524003
RGS2,1387.893045206492,1.5786880510720167,0.32200456690090234,4.902688388136624,9.453388188827031e-07,0.0004403888691847981
CFH,12727.441395848813,1.7483126272418705,0.35630547761679054,4.906780100423252,9.258373494148182e-07,0.0004403888691847981
CAVIN2,216.37419885806887,1.8321024423847005,0.37318001543086315,4.9094334279112095,9.133989989118492e-07,0.0004403888691847981
SETBP1,3741.757522764139,1.4260753449071357,0.29162077200371095,4.890170666199967,1.0074858805604028e-06,0.00044470063831607396
